athlete,gender,timestamp,distance (m),elapsed time (s),elevation gain (m),average heart rate (bpm),M/S,K/H,T/K,distance_group
13275838,M,01/06/2016 17:30,519.2,105,0.0,,4.944761904761905,17.80114285714286,3.370570107858243,500-1000
13275838,M,01/06/2016 17:27,524.8,107,0.0,,4.904672897196261,17.65682242990654,3.398119918699188,500-1000
13275838,M,01/06/2016 17:23,520.2,107,0.0,,4.861682242990654,17.502056074766354,3.428168653082148,500-1000
13275838,M,01/06/2016 17:20,524.9,107,0.0,,4.905607476635514,17.660186915887852,3.397472534451006,500-1000
13275838,M,01/06/2016 17:16,525.4,108,0.0,,4.864814814814815,17.513333333333332,3.425961172440046,500-1000
13275838,M,01/06/2016 17:13,521.6,105,0.0,,4.967619047619048,17.883428571428574,3.355061349693251,500-1000
13275838,M,13/04/2016 17:18,526.6,112,0.0,,4.701785714285714,16.926428571428573,3.5447525003164952,500-1000
13275838,M,23/03/2016 18:17,525.5,104,0.0,,5.052884615384615,18.19038461538461,3.2984459245163342,500-1000
13275838,M,24/02/2016 18:13,308.8,53,0.0,,5.826415094339623,20.975094339622643,2.860535405872193,100-500
11910984,M,20/04/2019 17:03,201.0,12,0.0,,16.75,60.3,0.9950248756218906,100-500
11910984,M,11/04/2019 11:39,252.0,15,0.0,,16.8,60.48,0.992063492063492,100-500
11910984,M,30/12/2018 15:31,295.0,24,0.0,,12.291666666666666,44.25,1.3559322033898304,100-500
11910984,M,09/08/2016 14:26,932.6,290,17.0,,3.2158620689655173,11.577103448275862,5.182643505611552,500-1000
5492554,M,31/05/2019 04:13,935.3,346,23.0,,2.703179190751445,9.731445086705202,6.165579671406679,500-1000
5492554,M,11/10/2017 17:38,411.9,84,0.0,,4.9035714285714285,17.65285714285714,3.398883224083516,100-500
5492554,M,11/10/2017 17:36,411.7,81,0.0,,5.082716049382716,18.29777777777777,3.279086713626427,100-500
5492554,M,11/10/2017 17:33,392.2,75,2.0,,5.229333333333333,18.8256,3.187149413564508,100-500
5492554,M,11/10/2017 17:30,405.4,81,0.0,,5.004938271604938,18.017777777777777,3.330044400592008,100-500
5492554,M,11/10/2017 17:28,405.3,79,0.0,,5.130379746835443,18.46936708860759,3.2486224196068765,100-500
