Gender,Name,Time,Distance
M,l5h83,1530.0,5000
M,l5h84,1525.0,5000
M,l5h85,1530.0,5000
M,l5h87,1556.0,5000
M,l5h90,1560.0,5000
M,l5h92,1570.0,5000
M,l5h93,1577.0,5000
M,l5h94,1577.0,5000
M,l5h95,1579.0,5000
M,l5h96,1577.0,5000
M,l5h97,1576.0,5000
M,l5h98,1592.0,5000
M,l5h99,1591.0,5000
M,l5h100,1590.0,5000
M,l5h102,1611.0,5000
M,l5h103,1605.0,5000
M,l5h104,1618.0,5000
M,l5h106,1644.0,5000
M,l5h107,1646.0,5000
M,l5h109,1654.0,5000
M,l5h111,1658.0,5000
M,l5h113,1664.0,5000
M,l5h114,1674.0,5000
M,l5h115,1697.0,5000
M,l5h116,1714.0,5000
M,l5h117,1720.0,5000
M,l5h118,1724.0,5000
M,l5h122,1782.0,5000
M,l5h125,1849.0,5000
M,l5h126,1851.0,5000
M,l5h128,1876.0,5000
M,l5h130,1903.0,5000
M,l5h131,1905.0,5000
M,l5h132,1989.0,5000
M,l5h133,1983.0,5000
M,l5h141,2057.0,5000
M,l5h142,2059.0,5000
M,l5h143,2158.0,5000
M,l5h145,2260.0,5000
F,l5h10,1114.0,5000
F,l5h17,1169.0,5000
F,l5h26,1210.0,5000
F,l5h27,1219.0,5000
F,l5h31,1301.0,5000
F,l5h36,1318.0,5000
F,l5h39,1328.0,5000
F,l5h42,1331.0,5000
F,l5h43,1341.0,5000
F,l5h55,1395.0,5000
F,l5h62,1415.0,5000
F,l5h63,1413.0,5000
F,l5h68,1444.0,5000
F,l5h70,1461.0,5000
F,l5h71,1475.0,5000
F,l5h79,1509.0,5000
F,l5h80,1514.0,5000
F,l5h81,1512.0,5000
F,l5h86,1553.0,5000
F,l5h88,1559.0,5000
F,l5h89,1559.0,5000
F,l5h91,1573.0,5000
F,l5h101,1603.0,5000
F,l5h105,1644.0,5000
F,l5h108,1654.0,5000
F,l5h110,1654.0,5000
F,l5h112,1662.0,5000
F,l5h119,1736.0,5000
F,l5h120,1756.0,5000
F,l5h121,1778.0,5000
F,l5h123,1820.0,5000
F,l5h124,1837.0,5000
F,l5h127,1858.0,5000
F,l5h129,1902.0,5000
F,l5h134,1991.0,5000
F,l5h135,1991.0,5000
